Sira no,SKU,Urun kodu,Malzeme,Urun adi,ölçü,Stok sayisi,Fiyat,Agirlik (gr)
1,AL-ALY-RD-1IN-ELB,AL-125-B,Alüminyum,Aluminum Alloy Round Tube Clamp Elbow,1 inch,300,0.79,127.3
2,AL-ALY-RD-1IN-BAS,AL-131-B,Alüminyum,Aluminum Alloy Round Tube Clamp Base,1 inch,160,1.26,245
3,AL-ALY-RD-1IN-TEE,AL-101-B,Alüminyum,Aluminum Alloy Round Tube Clamp Tee,1 inch,200,0.79,158
4,AL-ALY-RD-1IN-W3,AL-128-B,Alüminyum,Aluminum Alloy Round Tube Clamp 3 Way,1 inch,200,0.88,155
5,AL-ALY-RD-1IN-W4,AL-116-B,Alüminyum,Aluminum Alloy Round Tube Clamp 4 Way,1 inch,200,0.88,165
6,AL-ALY-RD-1IN-W5,AL-176-B,Alüminyum,Aluminum Alloy Round Tube Clamp 5 Way,1 inch,120,1.23,210
7,AL-ALY-RD-1IN-BW4,Big-4 way-B,Alüminyum,Aluminum Alloy Round Tube Clamp Big 4 Way,1 inch,200,1.23,215
8,AL-ALY-RD-1IN-LTEE,AL-104-B,Alüminyum,Aluminum Alloy Round Tube Clamp Long Tee,1 inch,200,0.9,165
9,AL-ALY-RD-1IN-CRS,AL-119-B,Alüminyum,Aluminum Alloy Round Tube Clamp Cross,1 inch,200,0.88,155
10,AL-ALY-RD-1IN-CPL,AL-149-B,Alüminyum,Aluminum Alloy Round Tube Clamp Coupling,1 inch,75,0.88,123.3
11,AL-ALY-RD-1IN-CPH,AL-149M8-B,Alüminyum,Aluminum Alloy Round Tube Clamp Coupling With Screw Hole,1 inch,225,1.05,143.3
12,AL-ALY-RD-1IN-T45,AL-129-B,Alüminyum,Aluminum Alloy Round Tube Clamp 45° Tee,1 inch,300,0.8,145
13,AL-ALY-SQ-20-ELB,AL-125F-20*20,Alüminyum,Aluminum Alloy Square Tube Clamp Elbow,20x20 mm,250,0.35,55
14,AL-ALY-SQ-20-BAS,AL-131F-20*20,Alüminyum,Aluminum Alloy Square Tube Clamp Base,20x20 mm,200,0.71,105
15,AL-ALY-SQ-20-TEE,AL-101F-20*20,Alüminyum,Aluminum Alloy Square Tube Clamp Tee,20x20 mm,200,0.26,45
16,AL-ALY-SQ-20-W3,AL-128F-20*20,Alüminyum,Aluminum Alloy Square Tube Clamp 3 Way,20x20 mm,250,0.44,59
17,AL-ALY-SQ-20-W4,AL-116F-20*20,Alüminyum,Aluminum Alloy Square Tube Clamp 4 Way,20x20 mm,250,0.44,58
18,AL-ALY-SQ-20-W5,AL-176F-20*20,Alüminyum,Aluminum Alloy Square Tube Clamp 5 Way,20x20 mm,100,0.53,70
19,AL-ALY-SQ-20-BW4,AL-BIG-4WAY-20*20,Alüminyum,Aluminum Alloy Square Tube Clamp Big 4 Way 20*20,20x20 mm,200,0.53,70
20,AL-ALY-SQ-20-LTEE,AL-104F-20*20,Alüminyum,Aluminum Alloy Square Tube Clamp Long Tee,20x20 mm,250,0.44,60
21,AL-ALY-SQ-20-CRS,AL-119F-20*20,Alüminyum,Aluminum Alloy Square Tube Clamp Cross,20x20 mm,250,0.44,58
22,AL-ALY-SQ-20-CPL,AL-149F-20*20,Alüminyum,Aluminum Alloy Square Tube Clamp Coupling,20x20 mm,175,0.35,45.7
23,AL-ALY-SQ-20-CPH,AL-149-M8F,Alüminyum,Aluminum Alloy Square Tube Clamp Coupling With Screw Hole,20x20 mm,350,0.44,55.7
24,AL-ALY-SQ-20-T45,AL-129F-20*20,Alüminyum,Aluminum Alloy Square Tube Clamp 45° Tee,20x20 mm,250,0.35,50
25,AL-ALY-SQ-30-ELB,AL-125F-30*30,Alüminyum,Aluminum Alloy Square Tube Clamp Elbow,30x30 mm,180,0.83,131.7
26,AL-ALY-SQ-30-BAS,AL-131F-30*30,Alüminyum,Aluminum Alloy Square Tube Clamp Base,30x30 mm,200,1.05,170
27,AL-ALY-SQ-30-TEE,AL-101F-30*30,Alüminyum,Aluminum Alloy Square Tube Clamp Tee,30x30 mm,240,0.79,116.7
28,AL-ALY-SQ-30-W3,AL-128F-30*30,Alüminyum,Aluminum Alloy Square Tube Clamp 3 Way,30x30 mm,240,0.88,152.7
29,AL-ALY-SQ-30-W4,AL-116F-30*30,Alüminyum,Aluminum Alloy Square Tube Clamp 4 Way,30x30 mm,240,0.84,146.7
30,AL-ALY-SQ-30-W5,AL-176F-30*30,Alüminyum,Aluminum Alloy Square Tube Clamp 5 Way,30x30 mm,80,1.14,215
31,AL-ALY-SQ-30-BW4,AL-BIG-4WAY-30*30,Alüminyum,Aluminum Alloy Square Tube Clamp Big 4 Way 30*30,30x30 mm,200,1.14,162
32,AL-ALY-SQ-30-LTEE,AL-104F-30*30,Alüminyum,Aluminum Alloy Square Tube Clamp Long Tee,30x30 mm,200,0.91,140
33,AL-ALY-SQ-30-CRS,AL-119F-30*30,Alüminyum,Aluminum Alloy Square Tube Clamp Cross,30x30 mm,200,0.88,130
34,AL-ALY-SQ-30-CPL,AL-149F-30*30,Alüminyum,Aluminum Alloy Square Tube Clamp Coupling,30x30 mm,75,0.62,98.3
35,AL-ALY-SQ-30-CPH,AL-149F-M8,Alüminyum,Aluminum Alloy Square Tube Clamp Coupling With Screw Hole 30*30,30x30 mm,150,0.8,123.3
36,AL-ALY-SQ-30-T45,AL-129F-30*30,Alüminyum,Aluminum Alloy Square Tube Clamp 45° Tee,30x30 mm,240,0.88,141.7
37,CI-OYA-SQ-25-TEE,F-101,Demir Döküm,Cast Iron Square Tube Clamp Tee,25x25 mm,100,0.26,203
38,CI-OYA-SQ-25-W4,F-116,Demir Döküm,Cast Iron Square Tube Clamp 4 Way,25x25 mm,120,0.29,334.3
39,CI-OYA-SQ-25-W5,F-176,Demir Döküm,Cast Iron Square Tube Clamp 5 Way,25x25 mm,100,0.45,469
40,CI-OYA-SQ-25-CRS,F-119,Demir Döküm,Cast Iron Square Tube Clamp Cross,25x25 mm,120,0.48,324.3
41,CI-OYA-SQ-25-W6,F-158,Demir Döküm,Cast Iron Square Tube Clamp 6 Way,25x25 mm,105,0.44,624.7
42,CI-OYA-SQ-25-ELB,F-125,Demir Döküm,Cast Iron Square Tube Clamp Elbow,25x25 mm,100,0.47,211
43,CI-OYA-SQ-25-W3,F-128,Demir Döküm,Cast Iron Square Tube Clamp 3 Way,25x25 mm,120,0.63,340.3
44,CI-OYA-SQ-25-BW4,F-177,Demir Döküm,Cast Iron Square Tube Clamp Big 4 Way,25x25 mm,100,0.66,476
45,CI-OYA-SQ-25-LTEE,F-104,Demir Döküm,Cast Iron Square Tube Clamp Long Tee,25x25 mm,120,0.83,333.3
46,CI-OYA-RD-25-TEE,H-101,Demir Döküm,Cast Iron Round Tube Clamp Tee,25 mm ,100,0.29,220
47,CI-OYA-RD-25-W4,H-116,Demir Döküm,Cast Iron Round Tube Clamp 4 Way,25 mm ,120,0.31,423.3
48,CI-OYA-RD-25-W5,H-176,Demir Döküm,Cast Iron Round Tube Clamp 5 Way,25 mm ,100,0.59,620
49,CI-OYA-RD-25-CRS,H-119,Demir Döküm,Cast Iron Round Tube Clamp Cross,25 mm,120,0.6,448.3
50,CI-OYA-RD-25-W6,H-158,Demir Döküm,Cast Iron Round Tube Clamp 6 Way,25 mm,105,0.6,716.7
51,CI-OYA-RD-25-ELB,H-125,Demir Döküm,Cast Iron Round Tube Clamp Elbow,25 mm,100,0.62,230
52,CI-OYA-RD-25-W3,H-128,Demir Döküm,Cast Iron Round Tube Clamp 3 Way,25 mm,120,0.84,433.3
53,CI-OYA-RD-25-BW4,H-177,Demir Döküm,Cast Iron Round Tube Clamp Big 4 Way,25 mm,100,0.87,630
54,CI-OYA-RD-25-LTEE,H-104,Demir Döküm,Cast Iron Round Tube Clamp Long Tee,25 mm,120,0.98,463.3
55,CS-STD-RD-25-H01,CS25-Round H1,Karbon Çelik,Carbon Steel Round Tube Clamp,25 mm,400,0.05,46.5
56,CS-STD-RD-25-H02,CS25-Round H2,Karbon Çelik,Carbon Steel Round Tube Clamp,25 mm,1400,0.08,90
57,CS-STD-RD-25-H03,CS25-Round H3,Karbon Çelik,Carbon Steel Round Tube Clamp,25 mm,200,0.08,68
58,CS-STD-RD-25-H04,CS25-Round H4,Karbon Çelik,Carbon Steel Round Tube Clamp,25 mm,750,0.1,74
59,CS-STD-RD-25-H05,CS25-Round H5,Karbon Çelik,Carbon Steel Round Tube Clamp,25 mm,400,0.12,52.5
